Uuid,Void/Retire,Short name:en,Fully specified name:en,Short name:fr,Fully specified name:fr,Data class,Data Type,_version:1,_order:500
15b23f84-0668-4a9a-8ea7-bb07ac0dcd09,,NEOPYNAMINE,NEOPYNAMINE,NEOPYNAMINE,NEOPYNAMINE,Drug,N/A,,
ab16be25-d5c0-4a6d-b8b5-d91d1885a9e0,,BENZOATE DE BENZYLE,BENZOATE DE BENZYLE,BENZOATE DE BENZYLE,BENZOATE DE BENZYLE,Drug,N/A,,
4ec9e4a7-61bf-4254-aef7-40c1584f35c4,,PARACETAMOL / CAFFEINE,PARACETAMOL / CAFFEINE,PARACETAMOL / CAFFEINE,PARACETAMOL / CAFFEINE,Drug,N/A,,
9e8c9b7e-9a44-4275-a0b1-e43e95880ce6,,PARACETAMOL,PARACETAMOL,PARACETAMOL,PARACETAMOL,Drug,N/A,,
eca524c8-56fe-4ba5-a5de-4c0484103319,,ACIDE ACETYL SALICYLIQUE,ACIDE ACETYL SALICYLIQUE,ACIDE ACETYL SALICYLIQUE,ACIDE ACETYL SALICYLIQUE,Drug,N/A,,
8de3f4ef-f921-475b-8b38-221c8db21fc9,,ACIDE FOLIQUE,ACIDE FOLIQUE,ACIDE FOLIQUE,ACIDE FOLIQUE,Drug,N/A,,
e61e8c01-43dc-469f-9c9b-1bf246d56d41,,ACICLOVIR,ACICLOVIR,ACICLOVIR,ACICLOVIR,Drug,N/A,,
8be6068c-7472-4e86-a5a8-c3ad53fcff32,,ATTAPULGITE DE MORMOIRON,ATTAPULGITE DE MORMOIRON,ATTAPULGITE DE MORMOIRON,ATTAPULGITE DE MORMOIRON,Drug,N/A,,
a423217d-78e6-470b-8c2d-291ff6171dde,,MAGNESIUM / ACIIDE ASCORBIQUE,MAGNESIUM / ACIIDE ASCORBIQUE,MAGNESIUM / ACIIDE ASCORBIQUE,MAGNESIUM / ACIIDE ASCORBIQUE,Drug,N/A,,
c0c53c56-f40d-4654-bf86-89d14623226b,,PARACETAMOL /  TRIPROLIDINE / PSEUD,PARACETAMOL /  TRIPROLIDINE / PSEUD,PARACETAMOL /  TRIPROLIDINE / PSEUD,PARACETAMOL /  TRIPROLIDINE / PSEUD,Drug,N/A,,
3ddda0ac-3a08-4cba-9afb-8ee6b6902275,,PIDOLATE DE MAGNESIUM,PIDOLATE DE MAGNESIUM,PIDOLATE DE MAGNESIUM,PIDOLATE DE MAGNESIUM,Drug,N/A,,
0ede5b48-eb38-40c4-810c-9fd8fb45efd9,,GLYCINE / ARGININE,GLYCINE / ARGININE,GLYCINE / ARGININE,GLYCINE / ARGININE,Drug,N/A,,
cab6577a-c4bf-4a25-bf6a-793a71270006,,NIFEDIPINE,NIFEDIPINE,NIFEDIPINE,NIFEDIPINE,Drug,N/A,,
c4a7d7e8-bef4-444a-bb15-31243bbefade,,ETHINYLESTRADIOL / LEVONORGESTREL,ETHINYLESTRADIOL / LEVONORGESTREL,ETHINYLESTRADIOL / LEVONORGESTREL,ETHINYLESTRADIOL / LEVONORGESTREL,Drug,N/A,,
d8ab3e36-1727-497e-ab55-01ad2abc4d74,,INDAPAMIDE,INDAPAMIDE,INDAPAMIDE,INDAPAMIDE,Drug,N/A,,
4c58d360-d772-4f0c-80eb-4add40abfe35,,PARACÉTAMOL,PARACÉTAMOL,PARACÉTAMOL,PARACÉTAMOL,Drug,N/A,,
2c33ef57-06cb-4168-b110-2c238b4c1e49,,CEFADROXIL,CEFADROXIL,CEFADROXIL,CEFADROXIL,Drug,N/A,,
582b378b-707a-4636-b72e-b5bdd37c5303,,IBUPROFENE,IBUPROFENE,IBUPROFENE,IBUPROFENE,Drug,N/A,,
c9dbf83f-c302-4175-b757-e597bcab251e,,DESLORATADINE,DESLORATADINE,DESLORATADINE,DESLORATADINE,Drug,N/A,,
