Uuid,Void/Retire,Name,Concept Drug,,Strength,odoo_price,odoo_category,odoo_type,odoo_id,_version:1
6746abcb-d7fd-433f-b465-c3c69f9440a1,,A PAR SOL Solution pour usage externe,NEOPYNAMINE,,,1900,bahmni_product.categ_saleable_drugs,Stockable Product,652e270b-5b79-4fce-b351-eb9fc95efabb,
ad76dd34-51e8-4b37-995e-7239d2b2c0cc,,ACARILBIAL Solution pour usage externe,BENZOATE DE BENZYLE,,,1200,bahmni_product.categ_saleable_drugs,Stockable Product,d33cd68e-570e-47d4-a0a8-4890afab4be3,
4fd4fdcf-58a2-457c-8948-9cba5d48c217,,ACE PLUS Comprimé à 500/ 65 mg,PARACETAMOL/CAFFEINE,,,1500,bahmni_product.categ_saleable_drugs,Stockable Product,b138b09f-5baf-4e72-8bbb-a10303cc900c,
d80dbab9-8f9a-43a5-9887-46d442a59a6e,,ACE Suppositoire à 250 mg,PARACETAMOL,,,500,bahmni_product.categ_saleable_drugs,Stockable Product,d4c68c95-0019-4a10-89c1-3f26130abeaa,
ca3bf482-f4e5-426e-9aef-5420696e50e2,,ACE Sirop à 120 mg/ 5 ml,PARACETAMOL,,,200,bahmni_product.categ_saleable_drugs,Stockable Product,bafc3327-3497-455d-9c3d-fed21f0cc927,
60f2e840-2276-4632-9fe9-51e59de6da45,,ACE Suppositoire à 60 mg,PARACETAMOL,,,300,bahmni_product.categ_saleable_drugs,Stockable Product,85ceefd9-913e-42dd-825f-49efc7dc8cbe,
8a9fdc11-aa7a-4535-840a-76a14ca51372,,ACE Comprimé à 500 mg,PARACETAMOL,,,500,bahmni_product.categ_saleable_drugs,Stockable Product,f45e43da-7852-4554-82de-7a6065d6d2ff,
5a2c2258-2c39-4bb6-ba4f-864f904d14b4,,ACIDE ACETYL SALICYLIQUE Comprimé à 100 mg,ACIDE ACETYL SALICYLIQUE,,,100,bahmni_product.categ_saleable_drugs,Stockable Product,86b0c17c-016d-41ad-a67a-9c245d9363a9,
68f46c7a-68f1-4016-a4c7-43a85826dd6f,,ACIDE FOLIQUE Comprimé à 5 mg,ACIDE FOLIQUE,,,200,bahmni_product.categ_saleable_drugs,Stockable Product,f8270e4e-0cfe-41e3-b8bb-8bb681cb2921,
e8b242e7-2cea-4bd9-8ded-f66f7ec62c38,,ACIVIR Comprimé à  200 mg,ACICLOVIR,,,600,bahmni_product.categ_saleable_drugs,Stockable Product,b76da49e-a93c-4b1d-95a0-6bcd2839e818,
c37e19b6-f0d4-4ea3-82a9-ef57cb3e7a31,,ACIVIR Crème à 5 %,ACICLOVIR,,,1700,bahmni_product.categ_saleable_drugs,Stockable Product,8c81a38e-97e8-44e9-a7b9-9067ea5d3536,
58a5960d-7ddd-4a80-b5ff-1db591b879d2,,ACIVIR Solution injectable,ACICLOVIR,,,1700,bahmni_product.categ_saleable_drugs,Stockable Product,ae33bd68-bec2-42a7-8c5b-64c97f39bdda,
19dd0cb7-2439-457d-880f-fba63f0c83d9,,ACTAPULGITE Sachet à 1 g,ATTAPULGITE DE MORMOIRON,,,780,bahmni_product.categ_saleable_drugs,Stockable Product,43aad9ce-3a24-4816-b226-47fdcb0e6384,
5eb78fb5-9f27-48ca-b6f3-87efad7a8853,,ACTAPULGITE Sachet à 3 g,ATTAPULGITE DE MORMOIRON,,,1750,bahmni_product.categ_saleable_drugs,Stockable Product,0de4ad0d-bb22-40b3-b593-78f010fb47d4,
68768b2e-32e1-4bb7-a5b3-dc3bde5b4511,,ACTI 5 Solution buvable,MAGNESIUM/ACIIDE ASCORBIQUE,,,1600,bahmni_product.categ_saleable_drugs,Stockable Product,11e5c1a7-6c2b-4a03-b212-a17617ce5ad1,
e78f2fa3-c238-4d0d-909f-dc157df51bf0,,"ACTIFED Comprimé à 500/ 2,5/ 60 mg",PARACETAMOL/TRIPROLIDINE/PSEUD,,,700,bahmni_product.categ_saleable_drugs,Stockable Product,2d3513c3-ab2c-48bb-adc2-2f00a517a753,
aad961a1-9760-4746-ba47-76af975d9ad5,,ACTIMAG Solution buvable à 2 g/ 5 ml,PIDOLATE DE MAGNESIUM,,,2000,bahmni_product.categ_saleable_drugs,Stockable Product,836dfecf-06f9-443d-bdcb-ca6713b64618,
eea3a841-a7b5-414c-a126-29ea33773830,,ACTIVAROL Solution buvable,GLYCINE/ARGININE,,,1900,bahmni_product.categ_saleable_drugs,Stockable Product,d4bdcfd0-2a49-4a62-b9d0-e86f7192bf6e,
23706118-0fb2-41b9-911e-2fc8a368ba86,,ACYCLOVIR DENK Crème à  5 %,ACICLOVIR,,,1700,bahmni_product.categ_saleable_drugs,Stockable Product,97de359a-d8bc-4dce-a3ab-2afd0b63cde5,
e419653d-06eb-4c15-a8eb-ea6ea29d4fdf,,ACYCLOVIR DENK Comprimé à 200 mg,ACICLOVIR,,,4800,bahmni_product.categ_saleable_drugs,Stockable Product,8835a07c-52dc-47a1-98c9-3b344607f6b8,
d2adfa5b-a2b8-4f3e-85db-528b96c64239,,ADALATE Comprimé LP à 20 mg,NIFEDIPINE,,,2000,bahmni_product.categ_saleable_drugs,Stockable Product,feadd48a-c647-496a-be0b-2b31a4c00f42,
a5013c94-8b97-4347-aee6-6b830a4c925b,,ADALATE Capsule à 10 mg,NIFEDIPINE,,,1100,bahmni_product.categ_saleable_drugs,Stockable Product,77ea2e27-1f07-40a5-b218-713a90fe2c2a,
4c8203fa-ad44-4cfe-9db4-dd342a2e0bd8,,ADALATE Comprimé LP à 20 mg,NIFEDIPINE,,,3300,bahmni_product.categ_saleable_drugs,Stockable Product,9de0bdfa-86a0-4c6f-a6d7-7b5292da5c9e,
a5e7d08f-6cad-4db5-afdc-766356cba1ed,,"ADEPAL Comprimé à 0,03 / 0,15 mg",ETHINYLESTRADIOL/LEVONORGESTREL,,,500,bahmni_product.categ_saleable_drugs,Stockable Product,65cbfd3b-5262-44ff-9694-7784a0fceb46,
ee87c8d1-0a1c-4b8d-ae19-fbb2ecd90bbb,,"ADEPAL Comprimé à 0,03 / 0,15 mg",ETHINYLESTRADIOL/LEVONORGESTREL,,,1500,bahmni_product.categ_saleable_drugs,Stockable Product,7357ffd9-4143-4621-b3e5-4cc85aa0da44,
f183b093-971a-407e-aaeb-9b5ac8368d47,,"ADEX Comprimé à 2,5 mg",INDAPAMIDE,,,1700,bahmni_product.categ_saleable_drugs,Stockable Product,ef03b182-4c96-46db-ab14-edac58322af6,
f4cd37b0-f19a-40ff-b697-523f02977be1,,ADOL Comprimé à 500 mg,PARACETAMOL,,,250,bahmni_product.categ_saleable_drugs,Stockable Product,758dc9bc-576e-4599-b102-7187157acdcc,
faa2446a-5189-4b3d-ac8c-31570a4f8a79,,ADORA Poudre pour suspension buvable à 125,CEFADROXIL,,,400,bahmni_product.categ_saleable_drugs,Stockable Product,baf7787b-b2b1-4297-82d8-14563a2b59cd,
3bc8df9e-254a-42e7-827e-b2aa75678f09,,ADORA Gélule à 500 mg,CEFADROXIL,,,800,bahmni_product.categ_saleable_drugs,Stockable Product,b603c66e-0f58-4950-af73-d7f38f141a14,
9a7a2988-3024-49e0-b36c-2780430c1a1c,,ADVIL Suspension Buvable à 100 mg/ 5 ml,IBUPROFENE,,,1400,bahmni_product.categ_saleable_drugs,Stockable Product,d45e043e-9f18-447a-9e46-7f50da2feb02,
a290b558-19ed-4813-ad47-364934a8b1de,,ADVIL Comprimé à 200 mg,IBUPROFENE,,,650,bahmni_product.categ_saleable_drugs,Stockable Product,6f954110-eaf4-42be-9792-824f7c7aef09,
53894464-bab1-4317-895c-9443aad99fda,,ADVIL Comprimé à 400 mg,IBUPROFENE,,,900,bahmni_product.categ_saleable_drugs,Stockable Product,480a242e-5234-44fa-8ab1-cefd46c52d71,
303eb435-5288-4dbd-a9d2-87864de5f52b,,AELGEX Sirop à 120 mg,PARACETAMOL,,,250,bahmni_product.categ_saleable_drugs,Stockable Product,f3014fde-30a2-4d61-947b-4b1dc5648cf8,
483a653d-1695-47f8-8fe4-2a84c5a3fd33,,AERIUS Comprimé  pelliculé à 5 mg,DESLORATADINE,,,1350,bahmni_product.categ_saleable_drugs,Stockable Product,1a511b27-70a8-4c5b-8ec2-1dbca6660142,
0321945b-2033-4123-a9cb-7dc60b16d6a7,,"AERIUS Sirop  à 0,5 mg/ ml",DESLORATADINE,,,1800,bahmni_product.categ_saleable_drugs,Stockable Product,2f829fdd-2d32-4820-95ab-06b8f1ed8892,
19a05fe1-4f32-4cc7-9187-bdb77b92e064,,AERIUS Comprimé  pelliculé à 5 mg,DESLORATADINE,,,2700,bahmni_product.categ_saleable_drugs,Stockable Product,f9120fad-b622-4c13-b778-fc61eab444f2,
adc48386-db90-4ba1-88f4-c8a3de557193,,AEROL Suspension pour inhalation  à  100  ug,SALBUTAMOL,,,1000,bahmni_product.categ_saleable_drugs,Stockable Product,b9d05d7b-b9a7-4508-a078-034822702d31,
40fe2740-252e-415b-9a90-69fb7aee0a27,,AFTAGEL Gel buccal,LIDOCAINE/SULFATE DE ZINC,,,1200,bahmni_product.categ_saleable_drugs,Stockable Product,22df7a68-92cd-4982-9f5e-c181e6a5ad4e,
623ab848-b828-47cc-9ff3-31ec79b8f8f7,,AGRAM Poudre pour susp buvable à 500 mg/,AMOXICILLINE,,,600,bahmni_product.categ_saleable_drugs,Stockable Product,8c6f30f4-782d-4dfc-812e-ce3e95196f5f,
81e7b56f-7617-467a-9fec-59024c53f68d,,AGRAM Poudre pour susp buvable à 125 mg/,AMOXICILLINE,,,500,bahmni_product.categ_saleable_drugs,Stockable Product,7be156a1-6ccf-4fb6-b685-e982e9761d92,
53123589-ee37-4b6b-a314-892d457a4f87,,AGRAM Poudre pour susp buvable à 250 mg/,AMOXICILLINE,,,500,bahmni_product.categ_saleable_drugs,Stockable Product,0d816e6e-5cbe-49d8-8b78-633c39993462,
06adbdb5-0a9d-4da3-9005-2427cfa1530b,,AGRAM Gélule à 500 mg,AMOXICILLINE,,,850,bahmni_product.categ_saleable_drugs,Stockable Product,59ba7896-a8d9-4951-b163-45de18f2e926,
5e61c123-d66b-4dac-a5ae-e06e73a754ea,,AIRTAL Comprimé à 100 mg,ACECLOFENAC,,,5100,bahmni_product.categ_saleable_drugs,Stockable Product,5c398d35-b684-40d5-8c81-6c869fe78cd5,
c55043c2-742f-4d81-852d-507cc0aabb15,,ALAIRGIX Comprimé à 10 mg,CETIRIZINE,,,1500,bahmni_product.categ_saleable_drugs,Stockable Product,2610dd1c-cc62-46d7-a68a-c7a32271695c,
12158c27-222d-42e5-bf51-ed147fb0c306,,ALATROL Comprimé à 10 mg,CETIRIZINE,,,400,bahmni_product.categ_saleable_drugs,Stockable Product,b447a292-b438-4345-8a51-0b4749f151e8,
993092e7-123d-4c85-a36d-85a7bd1be717,,"ALATROL Solution buvable à 2,5 mg/ ml",CETIRIZINE,,,600,bahmni_product.categ_saleable_drugs,Stockable Product,8739e998-2b3c-4d16-ab3a-1e9ccf960014,
42c0e698-c452-4f0a-87e7-9f226d0ba596,,ALBEN Suspension  buvable à 4 %,ALBENDAZOLE,,,700,bahmni_product.categ_saleable_drugs,Stockable Product,ef514ebf-225f-4d71-8842-2f280b3d4da4,
72ce193c-4eca-49d4-8087-de9fd8c1046a,,ALBEN Comprimé à  400 mg,ALBENDAZOLE,,,700,bahmni_product.categ_saleable_drugs,Stockable Product,71f7a5d8-8ade-4e04-8b91-41fceeae5008,
ad694d80-9f00-460c-bccf-a56f669e811a,,ALDACTAZINE Comprimé pelliculé à 25/ 15 mg,SPIRINOLACTONE/ALTIZIDE,,,1900,bahmni_product.categ_saleable_drugs,Stockable Product,fce8f259-9f3b-40f5-b3d8-fa1b5302f2bc,
